,Title,Summary,Location,Company,Salary,City,Sal,Pay,Annual,entry_job,senior_job,temp_job
24,Technical Business Analyst,Review the solution documents and work closely with Solution Architect and Technical Architects to ensure requirements are clearly-understood.,Folkestone,Saga,"£30,000 a year",Rest of UK,30000.0,0,1,0,0,0
25,Business Intelligence Analyst,"Applicants must have good technical skills and experience in developing and maintaining information systems, building reports and analysing data.",Brighton and Hove,East Sussex County Council,"£26,680 a year",Rest of UK,26680.0,0,1,0,0,0
26,Marketing Analyst,Strong Data extraction capabilities and demonstrable experience extracting data from various systems and databases.Our Client is receptive and responsive.,Burgess Hill,Red Recruitment,"£45,000 - £319,000 a year",Rest of UK,182000.0,1,1,0,0,0
27,Disability Analyst,For information on how your data for job applications will be processed and stored with Ascenti please visit our website here: www.ascenti.co.uk/recruitment…,Brighton,Ascenti,"£32,000 a year",Rest of UK,32000.0,0,1,0,0,0
28,Product Requirements Analyst,"Work with internal architects and engineers to come up with solutions for technical consideration, liaising for proof of concepts where appropriate.",Sayers Common,Friday Media Group,"£25,000 - £33,000 a year",Rest of UK,29000.0,0,1,0,0,0
29,Billings Analyst,Support the Head of Billing and the CRM development team in the carrying out of data migrations from 3rd party billing systems.,Shoreham by Sea,Focus Group,"£19,000 - £22,000 a year",Rest of UK,20500.0,0,1,0,0,0
30,Compliance Analyst,Knowledge of Data Protection Standards.As a Compliance Analyst your responsibilities will include:3 years experience in a Compliance Analyst or Financial…,Brighton and Hove,GRID Recruitment,"£40,000 a year",Rest of UK,40000.0,1,1,0,0,0
31,Insight Analyst,"As an Senior Analyst, you will have a passion for analytics and data.Using SQL to collect data from across the business and bring it together to support…",Brighton,Harnham,"£40,000 - £50,000 a year",Rest of UK,45000.0,1,1,0,0,0
32,Junior MI Analyst,Support the Systems / Data Analyst in developing and maintaining a variety of MI and financial reporting solutions across multiple software streams.,Hove,Legal & General Group Plc.,"£28,000 a year",Rest of UK,28000.0,0,1,1,0,0
33,Market Analyst,Turn data into actionable insight.Present clear insight from data to multiple levels of stakeholders.The Market Analyst will drive actionable insight from…,Brighton,Michael Page UK,"£37,000 - £40,000 a year",Rest of UK,38500.0,1,1,0,0,0
34,Major Incident Analyst (IT Operations Centre),"Understanding of data capture, reporting frameworks and tools.Communicating complex multi-faceted data and sensitive information to business users, senior…",Hove,Michael Page UK,"£40,000 - £47,000 a year",Rest of UK,43500.0,1,1,0,0,0
35,Head of Communications,"Manage NN’s long-term measurement of public attitudes towards maths; conduct annual nationwide surveys, work with the NN data analyst to interpret new reports…",Lewes,National Numeracy,"£39,000 - £41,000 a year",Rest of UK,40000.0,1,1,0,0,0
36,Digital Analyst,Support decision making with data and strategic insight.Excellent Excel and Data studio knowledge and experience.Tagging and tracking experience (GTM).,Burgess Hill,Park Cameras,"£35,000 - £40,000 a year",Rest of UK,37500.0,1,1,0,0,0
37,PMO Analyst,"Good Data analysis and maintenance skills.Provide input to improve our data sources and quality, utilising the current tooling available (KeyedIn, JIRA).",Hove,Legal & General Group Plc.,"£24,000 - £30,000 a year",Rest of UK,27000.0,0,1,0,0,0
38,BI Reporting Analyst – Cognos,"Role: BI Reporting Analyst – Cognos.Use of Business Intelligence tools, for data exploration, analysis.Strong analytical skills and passionate about large…",Brighton,Coburg Banks,"£25,000 - £30,000 a year",Rest of UK,27500.0,0,1,0,0,0
39,Service Analyst (Release) - Professional Services,"Understanding of data capture, reporting frameworks and tools.Service Analyst (Release) - IT Service Management - ITIL.Input to Business Go/No-Go reviews.",Brighton,Michael Page UK,"£40,000 - £46,500 a year",Rest of UK,43250.0,1,1,0,0,0
40,Financial Analyst,Proactive administration of the weekly sales leadership meetings and subsequent data and forecast information.Day to day responsibilities will include;,Lewes,Grafton Banks Finance Recruitment,"£25,000 - £28,000 a year",Rest of UK,26500.0,0,1,0,0,0
41,IT Service Operations Analyst,A leading financial services institution in Brighton seeks a IT Service Operations Analyst in Brighton.Providing software configuration and customisation…,Brighton,Michael Page UK,"£40,000 - £47,000 a year",Rest of UK,43500.0,1,1,0,0,0
42,Marketing Analyst,Use the sales data to create accurate reports of each internet retailer account.Able to show your skills and ability to analyse data and optimise performance.,Hassocks,First Recruitment Services,"£25,000 - £30,000 a year",Rest of UK,27500.0,0,1,0,0,0
43,Paid Search Analyst,Excellent data analysis and Excel skills.This Brighton based business is looking for a skilled Paid Search Analyst to join the business marketing team and…,Brighton,Talent Hub,"£30,000 - £35,000 a year",Rest of UK,32500.0,0,1,0,0,0
44,Finance Analyst,"To provide detailed analysis of financial data such as forecasting, projections and variances for both internal and external customers.",Brighton,Page Personnel - UK,"£35,000 - £45,000 a year",Rest of UK,40000.0,1,1,0,0,0
45,Senior Credit Analyst,Using knowledge of Excel to streamline data consolidation and reporting.Our client is a market leading organisation based all over the UK who are experiencing…,Brighton,Page Personnel - UK,"£25,000 - £33,000 a year",Rest of UK,29000.0,0,1,0,1,0
46,SAP Business Analyst,"Verify data when required, reviewing all reports for accuracy, investigate and providing solutions for any data issues;Understanding of day to day operations;",Lewes,First Recruitment Services,"£40,000 a year",Rest of UK,40000.0,1,1,0,0,0
47,PPC Analyst,"Excellent data analysis skills, particularly Google Analytics and AdWords – understand the numbers behind the traffic.6 Company sponsored Social Events.",Brighton,Coburg Banks,"£25,000 - £30,000 a year",Rest of UK,27500.0,0,1,0,0,0
48,Marketing Analyst - Burgess Hill,The Marketing Analyst will provide the division with a clear understanding of the sales data flow across the division.,Burgess Hill,GCS Recruitment Specialists Ltd,"£35,000 - £45,000 a year",Rest of UK,40000.0,1,1,0,0,0
49,Commercial Finance Analyst,Review financial information prepared by junior team members in Controller (Group financial reporting system) and the data input on a quarterly basis.,Brighton,Page Personnel - UK,"£30,000 - £45,000 a year",Rest of UK,37500.0,1,1,0,0,0
50,Pensions Transition Consultant,"Specifically, roles which focus on the collation, presentation and administration of data and quotes linked to the transfer and management of large Defined…",Brighton,Alexander Lloyd,"£30,000 - £45,000 a year",Rest of UK,37500.0,1,1,0,0,0
51,Marketing & Pricing Analyst,"Data driven with the ability to produce and present data to high quality standards.Commercial Pricing Analyst - £31,900 - £45,000 + benefits - West Sussex -…",Burgess Hill,Red Recruitment,"£31,900 - £45,000 a year",Rest of UK,38450.0,1,1,0,0,0
52,IT Security Manager,"Manage the day-to-day infrastructure security processes operated by the Information Protection Analyst, Application Security Analyst and third party providers…",Brighton,Eames Consulting,"£75,000 a year",Rest of UK,75000.0,1,1,0,1,0
53,"Senior Oracle Support Analyst, Brighton","Senior Oracle Support Analyst, SQL; Brighton up to £65k.As the Senior Oracle Support Analyst you will be confident and competent in Oracle and SQL and have…",Brighton,Langley James IT Recruitment,"£65,000 a year",Rest of UK,65000.0,1,1,0,1,0
54,Senior Finance Reporting Analyst,Ability to manage and structure large volumes of data for business insight.Any part time candidate that takes this role on after leaving practice will be given…,Hove,Page Personnel - UK,"£40,000 - £45,000 a year",Rest of UK,42500.0,1,1,0,1,0
55,SEO Manager,"Ability to interpret and explain complex data.Deliver a wide range of organic search tactics across our client base.Salary: £26,000.00 to £35,000.00 /year.",Brighton,TXM TECHNOLOGY LIMITED,"£26,000 - £35,000 a year",Rest of UK,30500.0,0,1,0,1,0
56,Costs Lead,"Delivery of cost management activities, including data capture and analysis.Working with other departments to ensure data is managed across the cost management…",Brighton,Barclay Meade,"£36,000 - £47,000 a year",Rest of UK,41500.0,1,1,0,1,0
57,Senior Advertising Operations Executive - Adtech,Please refer to our Data Privacy Policy & Notice on our website for further details.Your data is processed on the basis of our legitimate interests in…,Brighton,RecruitmentRevolution.com,"£25,000 a year",Rest of UK,25000.0,0,1,0,1,0
58,Business Analyst,We are looking for an experienced Business Analyst to join our existing Business Transformation team to provide cover whilst a colleague is on maternity leave.,Huddersfield,FMG,"£30,000 - £35,000 a year",Rest of UK,32500.0,0,1,0,0,0
59,Research Data Quality Analyst - 37 months,We are looking to recruit two Data Quality Analysts to play a key supporting role across the BiB family of projects.Any correspondence may be by e-mail only.,Bradford,Bradford Teaching Hospitals NHS Foundation Trust,"£30,401 - £37,267 a year",Rest of UK,33834.0,0,1,0,0,0
60,Variable Pay Analyst,"Advanced Excel skills with strong data manipulation ability across large data sets, therefore, attention to detail is required.What we can offer you;",Bradford,Virgin Media,"£35,000 a year",Rest of UK,35000.0,0,1,0,0,0
61,Technical Service Desk Analyst,"To be successful, you will be able to demonstrate experience of working as a 1st line Service Analyst and the ability to work with complex systems and to…",Bradford,University of Bradford,"£23,067 - £25,217 a year",Rest of UK,24142.0,0,1,0,0,0
62,Business Analyst,"Ability to interpret complex data.Significant experience as a Business Analyst within a corporate function, ideally within a regulated industry.",Bradford,Multiple Brands,"£40,000 a year",Rest of UK,40000.0,1,1,0,0,0
63,Resource Planning Analyst,You’ll provide effective statistical analysis of system data to enable the operation to run at optimum efficiency.What you’ll do on a typical day:,Bradford,XPO Logistics,"£25,000 a year",Rest of UK,25000.0,0,1,0,0,0
64,IT Service Analyst,"Assess potential Problems to ensure that suitable data is provided, and that the quality of the data is high – To allow investigation and diagnosis to proceed…",Leeds,Hermes,"£25,000 - £28,000 a year",Leeds,26500.0,0,1,0,0,0
65,Call Quality Analyst,= Reviewand issue data rights responses (subject access requests).Knowledge of GeneralData Protection Regulation and Data Protection Act 2018 (essential).,Leeds,BW Legal,"£18,000 - £24,000 a year",Leeds,21000.0,0,1,0,0,0
66,Data Analyst,"The Role: Graduate Data Analyst.Responsibilities as a Graduate Data Analyst:As a Graduate Data Analyst, you will join the front line of this multi-national…",Bradford,Pareto Law,"£23,000 a year",Rest of UK,23000.0,0,1,0,0,0
67,Reporting Analyst,"Richard Milton, Data Architect (Student Lifecycle Programme).The programme is building its data and reporting teams, who will work within an existing team of…",Leeds,University of Leeds,"£27,511 - £32,817 a year",Leeds,30164.0,0,1,0,0,0
68,QC Analyst – Microbiology,Degree or equivalent qualification any science subject would be preferred but not essential if you have experience doing a QC Analyst role.,Bradford,Beautiful Recruitment,"£25,000 a year",Rest of UK,25000.0,0,1,0,0,0
69,Data Analyst ( Python / R ),Essential skills for the Data Analyst ( R / Python ):The Data Analyst ( R / Python ) will be joining at an incremental time as the data division are investing…,Bradford,Venturi,"£30,000 - £40,000 a year",Rest of UK,35000.0,0,1,0,0,0
70,Customer Contact Analyst,Analyse different sources of data to understand client contact behaviour and suggest training requirements by client based on contact reason data to minimise…,Leeds,Hermes,"£23,750 - £26,250 a year",Leeds,25000.0,0,1,0,0,0
71,Quality Testing Engineer,"Work with Software Engineers, Performance Engineers, Business Analysts, Product Owners, Architects and Designers as a part of the Feature Team.",Halifax,Lloyds Banking Group,"£38,934 - £43,260 a year",Rest of UK,41097.0,1,1,0,0,0
72,Business Analyst,Providing roadmaps and data modelling to support key business projects and processes.As IT Business Analyst you will work cross-functionally across all…,Bradford,Robert Half United Kingdom,"£45,000 - £55,000 a year",Rest of UK,50000.0,1,1,0,0,0
73,Innovation Analyst,"Respect: having an excellent understanding of data management systems and processes.As an Innovation Analyst, you will work with colleagues to understand…",Leeds,Yorkshire Housing Limited,"£36,447 a year",Leeds,36447.0,1,1,0,0,0
74,Data Analyst,"To be considered as a Data Analyst, you will need: *.Be part of Pi Healthcare’s technology team as a Data Analyst.Experience in a data or analytics role.",Ilkley,Pi Healthcare,"£23,000 - £28,000 a year",Rest of UK,25500.0,0,1,0,0,0
75,Systems Analyst,"Implementation will include data preparation, building user capability and go-live support and hand holding.Location: Bradford – city centre location, close to…",Bradford,Anchor Trust,"£38,000 a year",Rest of UK,38000.0,1,1,0,0,0
76,Analyst,As an Analyst the post holder will work as part of a dynamic analytical community supporting managers and staff specifically on the development of reporting…,Leeds,NHS England and NHS Improvement,"£37,570 - £43,772 a year",Leeds,40671.0,1,1,0,0,0
77,Lead Salesforce Consultant,"Experience in Salesforce Data Migration.Responsible for managing Salesforce delivery team members, including Business Analysts and Developers.",Leeds,Alscient Limited,"£50,000 - £65,000 a year",Leeds,57500.0,1,1,0,1,0
78,Junior Marketing Analyst,Research and create targeted keywords.Create weekly and monthly campaign performance reports.Continuously develop automated processes to streamline campaign…,Leeds,Search Laboratory,"£20,000 a year",Leeds,20000.0,0,1,1,0,0
79,Data Analyst,As an Data Analyst your duties will include: .As an Data Analyst you will have the following skills: .Understanding and reviewing data to identify trends.,Leeds,Gibson Hollyomes Recruitment,"£20,000 - £25,000 a year",Leeds,22500.0,0,1,0,0,0
80,PMO Analyst,Our Technology division is currently looking for a Programme Management Office (PMO) Analyst to join the team.What we'd like you to have:,Leeds,Zen,"£30,000 a year",Leeds,30000.0,0,1,0,0,0
81,Business Intelligence Analyst,Business Intelligence (BI) Analyst - up to £35k DOE.You've got experience working in Business Intelligence and/or Data Analysis in other organisations.,Huddersfield,Buy it Direct,"£35,000 a year",Rest of UK,35000.0,0,1,0,0,0
82,"DWP Business Continuity, Resilience and Emergency Response B...","Data collection and analysis through a BIA process.Use a multi-channel approach, such as surveys and site visits, to engage with stakeholders and subject…",Leeds,UK Government - Department for Work and Pensions,"£31,208 - £33,448 a year",Leeds,32328.0,0,1,0,0,0
83,Data Analyst,"As a Data Analyst, your responsibilities will include:Extracting data and learning about creating reports.You will be gathering business requirements from key…",Leeds,Harnham,"£30,000 - £38,000 a year",Leeds,34000.0,0,1,0,0,0
84,Risk Analyst,"Able to analyse data, problem solve and make decisions confidently.The Risk Analyst will also be expected to support the Risk Manager in identifying emerging…",Leeds,Capita Plc,"£30,000 a year",Leeds,30000.0,0,1,0,0,0
85,Business Analyst,As a Business Analyst you will be responsible for helping to implement the new ERP system which involves moving financial data over to the new system.,Bradford,Oscar Technology,"£50,000 a year",Rest of UK,50000.0,1,1,0,0,0
86,"Business Intelligence Analyst (BI Analyst, Data Analyst, SQL...","Skills required for the Business Intelligence Analyst (BI Analyst, Data Analyst, SQL):The Business Intelligence Analyst (BI Analyst, Data Analyst, SQL) will…",Leeds,Ampersand Consulting,"£30,000 - £35,000 a year",Leeds,32500.0,0,1,0,0,0
87,Network Test Engineer,"Job Title_ Network Test Engineer.As the Network Test Engineer, you will plan and conduct the testing of our B2B products and services, making recommendations…",Bradford,Virgin Media,"£50,000 a year",Rest of UK,50000.0,1,1,0,0,0
88,Pricing Analyst,"Be proactive in analysis and investigation of data, with the ability to present coherent findings and recommendations.",Leeds,Lloyds Banking Group,"£33,750 - £37,500 a year",Leeds,35625.0,1,1,0,0,0
89,Data Analyst Trainer,"Have a vocational background/Qualification in data analysis, data science or data management.Data Analyst Trainer main duties:Telephone Number: 0161 838 3600.",Leeds,Morgan Hunt Group,"£45,000 a year",Leeds,45000.0,1,1,0,0,0
90,Wholesale Billing Analyst,If you join us as a Wholesale Analyst we would want you to have_.Virgin Media is currently searching for a Wholesale Analyst to join our Wholesale Billing and…,Bradford,Virgin Media,"£25,000 a year",Rest of UK,25000.0,0,1,0,0,0
91,Business and Client Process Analyst,Vacancy: Business and Client Process Analyst.Experience of performing a business analyst role within a professional services organisation.,Leeds,Thompsons Solicitors,"£39,363 - £46,770 a year",Leeds,43066.5,1,1,0,0,0
92,Business Analyst (Warehouse Operations),"Previous experience working as a business analyst is preferred.As a Business Systems & Process Analyst you’ll be trusted with large-scale, business change…",Huddersfield,Buy It Direct,"£40,000 a year",Rest of UK,40000.0,1,1,0,0,0
93,Pricing Analyst,Pricing Analyst : 1 year (Required).By applying for the above position and providing your personal data to us you understand that your data will be processed…,Bradford,Gap Professional,"£27,000 a year",Rest of UK,27000.0,0,1,0,0,0
94,Business Analyst,Any Certification in business Analyst.An exciting opportunity to join IT Jack Software Solutions based in Keighley as a Business Analyst.,Leeds,IT Jack Ltd,"£32,000 - £37,000 a year",Leeds,34500.0,0,1,0,0,0
95,Senior Data Analyst,"To qualify for this Senior Data Analyst, you will require:Please register your interest to this Senior Data Analyst role by applying via this website.",Leeds,Harnham,"£50,000 - £80,000 a year",Leeds,65000.0,1,1,0,1,0
96,BI Analyst Developer,You will be responsible for the ongoing development of our Data Warehouse and the analysis of data across the business.What will you have to do?,Huddersfield,Buy It Direct,"£50,000 a year",Rest of UK,50000.0,1,1,0,0,0
97,Fraud Analyst,"Analysing global, real-time data to pull out trends and insights.Strong academic background with a technical degree such as Mathematics, Statistics, Computer…",West Yorkshire,Harnham,"£40,000 - £50,000 a year",Rest of UK,45000.0,1,1,0,0,0
98,Junior Project Support & BI Analyst,"Junior Project Support & BI Analyst.Understanding of database management and data analysis.Degree level education in a finance, mathematics, computer science…",Leeds,The Consulting Consortium,"£21,000 a year",Leeds,21000.0,0,1,1,0,0
99,BI and Reporting Analyst,Experience working as a Data Analyst or Reporting Analyst.Previous experience in an Data Analyst focused role.You will work with business.,Leeds,InterQuest Group,"£60,000 a year",Leeds,60000.0,1,1,0,0,0
100,"Data Developer (SQL, Tableau, SSRS)",Resolve data quality issues through robust data investigation and resolution activity.Lead best practice around the use of data for MI reporting purposes by…,Leeds,Ampersand Consulting,"£38,000 - £42,000 a year",Leeds,40000.0,1,1,0,0,0
101,Resource Planning Analyst - DJPF1291,"Job Title: Resource Planning Analyst*.Working in partnership with customer focused organisations, we offer a professional, trusted and quality service, to…",Leeds,Douglas Jackson,"£25,000 a year",Leeds,25000.0,0,1,0,0,0
102,Reporting Analyst,Highly analytical in manipulating and handling data.The successful Reporting Analyst in Leeds will meet the following desirable skill set:,Leeds,Page Personnel - UK,"£27,000 - £32,000 a year",Leeds,29500.0,0,1,0,0,0
103,Interim Commercial Analyst,"Systems would spew out poor data.You make sense of COMMERCIAL data; profitability analysis, recovery rates, pricing.7 Month Fixed Term Contract.",Leeds,Woodrow Mercer,"£45,000 - £52,000 a year",Leeds,48500.0,1,1,0,0,1
104,Product Analyst,"Analytical with the ability to understand and interpret data.37.5 hours per week (hours of work will be flexible and dictated by the needs of the business,…",Leeds,Pure Retirement,"£20,000 a year",Leeds,20000.0,0,1,0,0,0
105,Data Analyst,The successful data analyst will be part of a vibrant and well-respected Global company who are looking to expand their dedicated Business Intelligence team…,Leeds,Corecom Consulting,"£35,000 a year",Leeds,35000.0,0,1,0,0,0
106,Pricing Analyst,By applying for the above position and providing your personal data to us you understand that your data will be processed in line with our Privacy Policy.,Bradford,gap personnel,"£27,000 a year",Rest of UK,27000.0,0,1,0,0,0
107,Support Analyst,"Be confident with data analysis/cleansing techniques to produce concise, informative reports.A basic understanding (gained through studies or work experience)…",Leeds,The Bridge,"£25,000 a year",Leeds,25000.0,0,1,0,0,0
108,SQL Developer/Analyst,"Look no further as my client is looking for a SQL Developer to join their expanding team.Other developer experience (C#, C++, .NET).",Leeds,Oscar Technology,"£35,000 a year",Leeds,35000.0,0,1,0,0,0
109,Senior Service Support Analyst,Knowledge and experience of using helpdesk applications or similar data capture systems.The Senior Services Support Analyst role is within the NHS Digital Live…,Leeds,NHS Digital,"£24,907 - £30,615 a year",Leeds,27761.0,0,1,0,1,0
110,Lead Customer Analyst,"Numerate Degree at 2:1 level or equivalent work experience handling large data sets.Bradford £40,000 - £55,000 + bonus & benefits.",Bradford,Aspire Data Recruitment,"£40,000 - £55,000 a year",Rest of UK,47500.0,1,1,0,1,0
111,Software Product Analyst,"Min 2 years’ experience as a Product Consultant, Software Application Consultant, Software Product Analyst or similar, Business Analyst.",Leeds,Solo Search,"£30,000 - £45,000 a year",Leeds,37500.0,1,1,0,0,0
112,Business Analyst,"Providing day to day security and data admin support.As a Business Support Analyst, you will provide business support and analysis to aid in the design and…",Leeds,Huntress,"£24,000 - £34,000 a year",Leeds,29000.0,0,1,0,0,0
113,IT Support Analyst,Education Requirements - none required - qualifications and experience preferred.Responsibilities - IT support 1st to 2nd line with potential for development.,Leeds,Interface Recruitment,"£20,000 - £24,000 a year",Leeds,22000.0,0,1,0,0,0
114,Digital Performance Analyst,Supporting the team on all data and analytics.The successful Digital Performance Analyst will have the following attributes:,Leeds,Michael Page UK,"£22,000 - £25,000 a year",Leeds,23500.0,0,1,0,0,0
115,Business Analyst,"At Solo Search we take your data privacy seriously, by applying for this vacancy your data will be processed and likely stored on our secure internal systems.",Leeds,Solo Search,"£30,000 - £45,000 a year",Leeds,37500.0,1,1,0,0,0
116,Call Quality Analyst,Manage and review data laws.Data Protection laws understanding and knowledge.By applying for the above position and providing your personal data to us you…,Leeds,Gap Professional,"£18,000 - £24,000 a year",Leeds,21000.0,0,1,0,0,0
117,Software Tester,"Develop test scripts, automated tests and create test data based on the technical and functional requirements of new features.What will you have to do?",Huddersfield,Buy It Direct,"£40,000 a year",Rest of UK,40000.0,1,1,0,0,0
118,"Data Analyst – T-SQL, Power BI, SSRS (Fixed Term Contract)","My client based in the Leeds area are looking for an experienced Data analyst with good knowledge of the below to interrogate large data sets, providing insight…",Leeds,Proactive.IT Appointments,"£32,000 - £43,000 a year",Leeds,37500.0,1,1,0,0,0
119,Commercial Finance Analyst,Gifford and partners have been retained by a fast-growing SME based in Harrogate who is looking to appoint a Commercial Finance Analyst.,Leeds,Gifford and Partners Recruitment,"£23,000 - £32,000 a year",Leeds,27500.0,0,1,0,0,0
120,Digital Analyst,This agency and client have worked together on a multinational project and now they need a skilled web analyst to look at content and website performance…,Leeds,Harnham,"£30,000 - £40,000 a year",Leeds,35000.0,0,1,0,0,0
121,Team Leader,"Data entry and document comparisons.Managing a team of analysts to ensure an efficient, proactive approach.This is a brilliant, varied role that will involve…",Leeds,Jo Holdsworth Recruitment,"£22,000 - £28,000 a year",Leeds,25000.0,0,1,0,1,0
122,Senior Programme Manager,"The personal data contained therein will not be shared with any third parties without your express consent.Leads the core programme team of project managers,…",West Yorkshire,Cactus Search,"£90,000 a year",Rest of UK,90000.0,1,1,0,1,0
123,Junior Robotics Process Automation,The ability to analyse data or information effectively to break complex problems down into simple steps.It is designed to automate business processes that are…,Leeds,FDM Group - FDM Graduate Programme,"£23,500 - £26,000 a year",Leeds,24750.0,0,1,1,0,0
124,Web Analyst,You will enhance insights by merging web analytics data with additional data sources.As the Web Analyst will have the following skills and experience:,Leeds,Harnham,"£35,000 - £45,000 a year",Leeds,40000.0,1,1,0,0,0
125,SQL Report Writer - £25-35k + Home work or Flexi Time + Bens...,Perform data imports and exports into corporate databases.Perform data integrity checks across all corporate databases.,Leeds,Interface Recruitment,"£25,000 - £35,000 a year",Leeds,30000.0,0,1,0,0,0
