,Title,Summary,Location,Company,Salary
745,Research Data Engineer,Samenwerking met de doelgroepen om tegemoet te komen aan hun specifieke data uitdagingen.Gedurende dit proces wordt de data beheerd conform de FAIR principes.,Leuven,KU Leuven,
746,Aankoper (M/V),Als aankoper bent u verantwoordelijk voor de aankopen van materialen en het afsluiten van contracten met onderaannemers voor verschillende bouwprojecten en dit…,Brussel,CIT BLATON,
747,Young Talent Product Development,"You are a student in Engineering (commercial engineer/ industrial engineer / mechanical engineer).The tasks are diverse : market studies and investigations,…",Anderlecht,DAIKIN,
748,Project Engineer Junior,Définir les règles business à communiquer aux business analysts pour les développements des outils IT.Vous serez en charge d'implémentation de projets.,Brussel,Select Projects,
749,IT System Engineer,Gespecialiseerd in netwerken & het beveiligen van de data hierop.Onze resultaten hebben we te danken aan onze goede infrastructuur.Hier kom jij in de kijker.,Antwerpen (stad),Tabaknatie,
750,2nd Level Support Engineer,"Guard and improve data quality.To support the Enforcement department, we are looking for a Senior data analyst that will work on the following areas:",Diegem,Satellic NV,
751,Software Engineer Standard Solutions,"Knowledge and some experience in building data interfaces with SAP ERP is an advantage.To support the further development of new functionalities, we are…",Wommelgem,OMP,
752,Job | SAS Administrator | Brussel,"Binnen Belfius worden diverse tools gebruikt ter ondersteuning van “data analytics”.We zoeken collega’s met een Masters Degree, zoals burgerlijk ingenieur,…",Brussel,Belfius,
753,Citrix Senior System Engineer,Rejoignez une société de conseil et de services du numérique en fort développement : onepoint est devenu en moins de 15 ans l’un des acteurs majeurs de la…,Brussel,onepoint,
754,Test Engineer,Collect and analyse test data;The role is a test engineer on the New NATO Messaging Service (NNMS) project.We are seeking a highly personable and technically…,Brussel,"MCR, LLC.",
755,Global Logistics Engineer,Create transparency by helping to setup data comparison cockpit.Master data management is a key area within Atlas Copco.Knowledge of SQL query and Power BI.,Wilrijk,Atlas Copco Airpower N.V.,
756,Hybrid Cloud DevOps Engineer,"TenForce is growing and we are expanding our hosting capabilities towards Azure.To guide us in this new adventure, we are looking for an experienced & hands on…",Leuven,TenForce,
757,Technical Service Engineer,"Je bereidt de technische projectdocumentatie voor, maakt PED constructiedossiers, verzamelt certificaten, data.Nippon Gases slaagt erin iets zo.",Zwijndrecht,Nippon Gases,
758,C/C++ Senior Backend Engineer,"You will be working in collaboration with our engineers, data scientists, and architects to develop new features, integrate new liquidity sources and structure…",Brussel,Keyrock,
759,Data Architect,"Capture data requirements and deliver logical data models, data flow diagrams and other artefacts.A data architect is an IT specialist with experience and…",Brussel,ARHS Group,
760,Big Data Engineer,"As a data engineer, you show :Data engineering: 3 years (Preferred).At Klarrio we are specialized in building 'streaming data' -platforms, -processing and …",Antwerpen (stad),Klarrio,
761,Data Base Engineer,"We zijn op zoek naar een database engineer met een brede interesse, die zich kan inwerken in technologie naargelang de noden.",Schaarbeek,Christelijke Mutualiteit,
762,Junior Data Communication Engineer,"De Junior Data Communication Engineer zal door middel van on-the-job-training opgeleid worden tot een ""subject matter expert"" op het vlak van luchtvaart…",Steenokkerzeel,skeyes,
763,Research Data Engineer,Samenwerking met de doelgroepen om tegemoet te komen aan hun specifieke data uitdagingen.Gedurende dit proces wordt de data beheerd conform de FAIR principes.,Leuven,KU Leuven,
764,Speech Processing Engineer,"You understand the difference between fundamental research and data driven development.You will work closely on product delivery roadmap, taking it from…",Antwerpen (stad),Faktion,
765,Cloud Engineer Director,"Experience with data science tools and libraries such as Anaconda, Jupyter notebooks, Apache Zeppelin.Experience with different types of data storage solutions…",Zaventem,Deloitte,
766,Research Fellow PhD – Intensive Care,"In close collaboration with biomedical engineers.At the department of Intensive Care Medicine of the university hospital Brussels, this data is electronically…",Jette,UZ Brussel,
767,Java Application engineer,"Vous travaillerez avec d'autres développeurs, des ingénieurs en logiciel, des analystes, le scrum master et les utilisateurs finaux en vue d'outils qualitatifs…",Brussel,Eligere Strategy,
768,Data Engineer,Strong notions of and affinity for machine learning and data mining.A degree (BSc or MSc) in computer science or related field.,Antwerpen (stad),Aspire Data Recruitment,
769,Azure Data Platform Engineer,"… zet je data door middel van data-analyses, heldere interpretaties en de juiste data-governance om in relevante inzichten.Als Azure Data Platform Engineer….",Kontich,uptime group,
770,QHSE - System & Tools Engineer,Perform analysis of interfaces between all different systems used (data warehouse principle).QHSE is one of the supportive departements that is involved in all…,Zwijndrecht,Dredging International,
771,Data and Public Funding Manager (m/w/d),"Nice to have: Knowledge in data management and energy scenarios, possibly also life cycle assessments.Interacting with the public affairs and sustainability…",Brussel,Viessmann,
772,Ingénieur Méthodes Engineering,"Bureau d’étude, bureau de conception industrielle, cellule industrial data management, ergonome, responsable outillage, techniciens qualité industrielle,…",Charleroi,ALSTOM,
773,Data & analytics technology manager,"Are you a data-enthusiast who also talks the language of business?Are you an architect that can link business processes to the right data, information and…",Brussel,PwC,
774,Hybrid Cloud DevOps Engineer,"TenForce is growing and we are expanding our hosting capabilities towards Azure.To guide us in this new adventure, we are looking for an experienced & hands on…",Leuven,TenForce,
775,Technical Service Engineer,"Je bereidt de technische projectdocumentatie voor, maakt PED constructiedossiers, verzamelt certificaten, data.Nippon Gases slaagt erin iets zo.",Zwijndrecht,Nippon Gases,
776,C/C++ Senior Backend Engineer,"You will be working in collaboration with our engineers, data scientists, and architects to develop new features, integrate new liquidity sources and structure…",Brussel,Keyrock,
777,Data Architect,"Capture data requirements and deliver logical data models, data flow diagrams and other artefacts.A data architect is an IT specialist with experience and…",Brussel,ARHS Group,
778,Big Data Engineer,"As a data engineer, you show :Data engineering: 3 years (Preferred).At Klarrio we are specialized in building 'streaming data' -platforms, -processing and …",Antwerpen (stad),Klarrio,
779,Data Base Engineer,"We zijn op zoek naar een database engineer met een brede interesse, die zich kan inwerken in technologie naargelang de noden.",Schaarbeek,Christelijke Mutualiteit,
780,Junior Data Communication Engineer,"De Junior Data Communication Engineer zal door middel van on-the-job-training opgeleid worden tot een ""subject matter expert"" op het vlak van luchtvaart…",Steenokkerzeel,skeyes,
781,Research Data Engineer,Samenwerking met de doelgroepen om tegemoet te komen aan hun specifieke data uitdagingen.Gedurende dit proces wordt de data beheerd conform de FAIR principes.,Leuven,KU Leuven,
782,Big Data Engineer,Assure le soutien et la maintenance quotidienne du data warehouse.Créez et prenez en charge les tâches ETL en extrayant les données de divers systèmes sources…,Brussel,Experis Belgium,
783,Junior Supply Planner,"To comply with GDPR regulations, we cannot process your personal data without given consent.Did you just finish or Bachelor/ Master?What’s in it for you?",Rotselaar,Danone,
784,Software Engineer ¿ Mission Control Software Development (M/...,"We work on international manned & unmanned spacecraft programmes, Earth observation, science, exploration, communications and related technology development.",Brussel,SPACE APPLICATIONS SERVICES,
785,3D Software Development Engineer,"You will also develop high-end graphical widgets for visualizing post-processed simulation data.Implement in C++ and Python new 3D tools for CAD Repair,…",Brussel,Numeca,
786,System Engineer,Experience with VMware data center virtualization products.You have excellent technical knowledge and you feel like managing our client’s IT Infrastructure?,Brussel,ASP nv/sa,
787,Senior Test Engineer,"Should have experience in design and development of various frameworks - data driven,.Role: As key member of the Test Automation team, responsibilities include…",Antwerpen (stad),XoriantːIN,
788,Data Engineer - Antwerp (BE) - IoT,"Specialised in data analysis and giving meaningful insight to their customers, our client is a data science company focusing on turning IoT sensor data into…",Antwerpen (stad),Digital Source,
789,Deskside Support Engineer Medior,"The Getronics family is an ICT Services group consisting of the Getronics and Connectis brands.With an extensive history that extends over 125 years, the…",Antwerpen (stad),Getronics,
790,Analyst / Change Facilitator,We apply (big) data analytics and computer vision techniques to turn data streams into valuable information which in turn helps people or robots take the right…,Brussel,Kapernikov,
791,Site Engineer,"Interested in the world of HVAC, electricity, gen sets, UPS, data cabling and security.You are an ambitous person with a A1 electro mechanics and/or you have…",Antwerpen (stad),Antwerp Datacenter,
792,Hybrid Cloud DevOps Engineer,"TenForce is growing and we are expanding our hosting capabilities towards Azure.To guide us in this new adventure, we are looking for an experienced & hands on…",Leuven,TenForce,
793,Technical Service Engineer,"Je bereidt de technische projectdocumentatie voor, maakt PED constructiedossiers, verzamelt certificaten, data.Nippon Gases slaagt erin iets zo.",Zwijndrecht,Nippon Gases,
794,C/C++ Senior Backend Engineer,"You will be working in collaboration with our engineers, data scientists, and architects to develop new features, integrate new liquidity sources and structure…",Brussel,Keyrock,
795,Data Architect,"Capture data requirements and deliver logical data models, data flow diagrams and other artefacts.A data architect is an IT specialist with experience and…",Brussel,ARHS Group,
796,Big Data Engineer,"As a data engineer, you show :Data engineering: 3 years (Preferred).At Klarrio we are specialized in building 'streaming data' -platforms, -processing and …",Antwerpen (stad),Klarrio,
797,Data Base Engineer,"We zijn op zoek naar een database engineer met een brede interesse, die zich kan inwerken in technologie naargelang de noden.",Schaarbeek,Christelijke Mutualiteit,
798,Junior Data Communication Engineer,"De Junior Data Communication Engineer zal door middel van on-the-job-training opgeleid worden tot een ""subject matter expert"" op het vlak van luchtvaart…",Steenokkerzeel,skeyes,
799,Research Data Engineer,Samenwerking met de doelgroepen om tegemoet te komen aan hun specifieke data uitdagingen.Gedurende dit proces wordt de data beheerd conform de FAIR principes.,Leuven,KU Leuven,
800,Part-time Learning and Knowledge Expert,You will work in close collaboration with product analysts and software engineers to acquire a deep understanding of the solutions on both conceptual as…,Wommelgem,OMP,
801,Senior SQL Support Engineer,Rejoignez une société de conseil et de services du numérique en fort développement : onepoint est devenu en moins de 15 ans l’un des acteurs majeurs de la…,Brussel,onepoint,
802,Senior Android Engineer,The apps that you’ve developed are integrated with RESTful web services and efficiently handle data transfer and processing.Then give us a shout !,Bruxelles Ixelles,Nodalview,
803,Data Engineer,"Als data engineer help je onze klanten bij het opzetten, uitvoeren en uitdragen van een goede data strategie.Hiervoor werk je samen met collega’s uit analytics…",Heverlee,AE,
804,Senior Solutions Engineer Firewalls,"Capable of finding and processing technical documentation and data.Strong analytical skills including data collection and analyzing, reporting, problem…",Brussel,Orange,
805,Senior Process Engineer,Provides guidance to less experienced process engineers.Calculates and organizes data for P&ID's.Senior Process Engineer(Job Number: ECR00009N).,Antwerpen (stad),Worley,
806,Mechatronics Engineer,"A Qplox engineer is always Quality in a team.Design of electronic automation and data acquisition equipment.For a wide range of products, and with special.",Leuven,Qplox Engineering,
807,Data and Public Funding Manager (m/w/d),"Nice to have: Knowledge in data management and energy scenarios, possibly also life cycle assessments.Interacting with the public affairs and sustainability…",Brussel,00 - Viessmann Group international,
808,IS Engineer - Microsoft,"Een gewest dat steunt op het bundelen van hoogtechnologische infrastructuren, ICT-platformen en -systemen en data.Oplossingsgericht zijn is daarom een must.",Brussel,CIBG,
809,Full Stack Developer,"Join our journey to bring data science in the fashion industry.Enjoy facing big data challenges.You will be part of the core technology unit, working with a…",Brussel,Lectra,
810,Hybrid Cloud DevOps Engineer,"TenForce is growing and we are expanding our hosting capabilities towards Azure.To guide us in this new adventure, we are looking for an experienced & hands on…",Leuven,TenForce,
811,Technical Service Engineer,"Je bereidt de technische projectdocumentatie voor, maakt PED constructiedossiers, verzamelt certificaten, data.Nippon Gases slaagt erin iets zo.",Zwijndrecht,Nippon Gases,
812,C/C++ Senior Backend Engineer,"You will be working in collaboration with our engineers, data scientists, and architects to develop new features, integrate new liquidity sources and structure…",Brussel,Keyrock,
813,Data Architect,"Capture data requirements and deliver logical data models, data flow diagrams and other artefacts.A data architect is an IT specialist with experience and…",Brussel,ARHS Group,
814,Big Data Engineer,"As a data engineer, you show :Data engineering: 3 years (Preferred).At Klarrio we are specialized in building 'streaming data' -platforms, -processing and …",Antwerpen (stad),Klarrio,
815,Data Base Engineer,"We zijn op zoek naar een database engineer met een brede interesse, die zich kan inwerken in technologie naargelang de noden.",Schaarbeek,Christelijke Mutualiteit,
816,Junior Data Communication Engineer,"De Junior Data Communication Engineer zal door middel van on-the-job-training opgeleid worden tot een ""subject matter expert"" op het vlak van luchtvaart…",Steenokkerzeel,skeyes,
817,Research Data Engineer,Samenwerking met de doelgroepen om tegemoet te komen aan hun specifieke data uitdagingen.Gedurende dit proces wordt de data beheerd conform de FAIR principes.,Leuven,KU Leuven,
818,Automation Engineer II - Purification,Coordonate technically up to 3 automation engineers on a single project.Able to coordinate technical activities of up to 3 automation engineers.,Lessines,Takeda Pharmaceuticals,
819,Non-Life actuary Reporting & Closing,"Vous avez une maîtrise en mathématique ou économique (quantitative), ingénieur de gestion, civil ou encore un diplôme en sciences actuarielles;",Brussel,WinBee HRC,
820,IT Project Engineer PLM Systemen,Begeleiden van data migratie projecten van bestaande applicaties naar het nieuwe systeem;Als project engineer speel je een belangrijke rol in de wereldwijde…,Antwerpen (stad),Atlas Copco Airpower N.V.,
821,Boomi Integration Engineer,But the increasing complexities of application and data integration is a growing challenge.At ASP we are looking for a Dell Boomi integration engineer that can…,Brussel,ASP nv/sa,
822,Design & Test Engineer ETCS1 LS,Vervolgens ga je over tot de detailtesten waar je de binnengekomen data verifieert.Tijdens de designfase organiseer je de inzameling van de vereiste data …,Brussel,Infrabel,
823,PRODUCTION SUPERVISOR V/E,"A degree in a scientific / technical direction (university or equivalent, eg bio-engineer, engineer, pharmacist).You will also provide training and education.",Puurs,Novartis,
824,Cloud Engineer,"We're shaping the way companies manage data by helping customers connect the right data, insights, and algorithms for all Data Citizens.",Brussel,Collibra,
825,Sales Engineer m/v,"We are looking for a sales engineer to expand and maintain our customer relationships.Establishes, maintains and transmits local customer data on any Sales…",Antwerpen (stad),Service Hydro,
826,Machine Learning Engineer,Defining performant and scalable data pipelines e.g. data pre-processing (feature engineering) and ensuring that data quality monitoring indicators are in place…,Leuven,KBC,
827,Product Engineering Teamleader,"You actively support the product engineers in defining complaint root causes (using PSP), managing change projects, documentation and validations.",Hoegaarden,Danaher,
828,Hybrid Cloud DevOps Engineer,"TenForce is growing and we are expanding our hosting capabilities towards Azure.To guide us in this new adventure, we are looking for an experienced & hands on…",Leuven,TenForce,
829,Technical Service Engineer,"Je bereidt de technische projectdocumentatie voor, maakt PED constructiedossiers, verzamelt certificaten, data.Nippon Gases slaagt erin iets zo.",Zwijndrecht,Nippon Gases,
830,C/C++ Senior Backend Engineer,"You will be working in collaboration with our engineers, data scientists, and architects to develop new features, integrate new liquidity sources and structure…",Brussel,Keyrock,
831,Data Architect,"Capture data requirements and deliver logical data models, data flow diagrams and other artefacts.A data architect is an IT specialist with experience and…",Brussel,ARHS Group,
832,Big Data Engineer,"As a data engineer, you show :Data engineering: 3 years (Preferred).At Klarrio we are specialized in building 'streaming data' -platforms, -processing and …",Antwerpen (stad),Klarrio,
833,Data Base Engineer,"We zijn op zoek naar een database engineer met een brede interesse, die zich kan inwerken in technologie naargelang de noden.",Schaarbeek,Christelijke Mutualiteit,
834,Junior Data Communication Engineer,"De Junior Data Communication Engineer zal door middel van on-the-job-training opgeleid worden tot een ""subject matter expert"" op het vlak van luchtvaart…",Steenokkerzeel,skeyes,
835,Research Data Engineer,Samenwerking met de doelgroepen om tegemoet te komen aan hun specifieke data uitdagingen.Gedurende dit proces wordt de data beheerd conform de FAIR principes.,Leuven,KU Leuven,
836,Junior Datacenter Engineer,Jouw dag als junior datacenter engineer bij Neoria.Vandaag zoeken we een junior datacenter engineer om ons team te versterken.En dat uit zich ook in ons team.,Edegem,uptime group,
837,Chief IOT Engineer,"WeSmart was created two years ago: it’s a real time, big data Cloud platform helping companies save a sustained 20% on their energy bill.",Brussel,WeSmart,
838,TechOps Software Engineer,Our founders launched OTA Insight with a mission to help the hospitality industry visualise and leverage its data.In this role you will:,Gent,OTA Insight,
839,Product Stewardship PMO,"Product Stewardship Process Improvement - working alongside the IT program leader, develop and implement the associated workflows, processes and procedures that…",La Hulpe,Imerys,
840,Business Intelligence (BI) Analyst Service Punctuality Manag...,"Vous êtes titulaire d'un diplôme universitaire à orientation quantitative (ingénieur, sciences exactes, informatique ou sciences économiques).",Brussel,SNCB,
841,R&D CUSTOMER APPLICATION ENGINEER,This is not science fiction.You have a master or civil engineering degree in computer science/mathematics/electronics/physics.,Brussel,Sony Depthsensing Solutions,
842,Paint Production Engineer,"Ability to understand colour properties and quality criteria’s such as colour data, gloss, mottling level etc.;",Evere,Experis Belgium,
843,Alpha Partners - Senior Business / IT Analyst,"Engineering degree (bio-engineer, commercial/business engineer, civil engineer, industrial engineer) OR.Master degree in science (e.g. Chemistry, IT, Biology,…",Brussel,Alpha Partners,
844,Account & Project Manager,"This is how we have developed a range of innovative digital products which, through their unique process of data, provide contextualized, actionable and real…",Brussel,Stoomlink SA,
845,ICT Data Intelligence Architect,We are looking for an experienced system engineer or technical analyst who has broad experience from an infrastructure perspective preferably in a data…,Brussel,KBC,
846,Hybrid Cloud DevOps Engineer,"TenForce is growing and we are expanding our hosting capabilities towards Azure.To guide us in this new adventure, we are looking for an experienced & hands on…",Leuven,TenForce,
847,Technical Service Engineer,"Je bereidt de technische projectdocumentatie voor, maakt PED constructiedossiers, verzamelt certificaten, data.Nippon Gases slaagt erin iets zo.",Zwijndrecht,Nippon Gases,
848,C/C++ Senior Backend Engineer,"You will be working in collaboration with our engineers, data scientists, and architects to develop new features, integrate new liquidity sources and structure…",Brussel,Keyrock,
849,Data Architect,"Capture data requirements and deliver logical data models, data flow diagrams and other artefacts.A data architect is an IT specialist with experience and…",Brussel,ARHS Group,
850,Big Data Engineer,"As a data engineer, you show :Data engineering: 3 years (Preferred).At Klarrio we are specialized in building 'streaming data' -platforms, -processing and …",Antwerpen (stad),Klarrio,
851,Data Base Engineer,"We zijn op zoek naar een database engineer met een brede interesse, die zich kan inwerken in technologie naargelang de noden.",Schaarbeek,Christelijke Mutualiteit,
852,Junior Data Communication Engineer,"De Junior Data Communication Engineer zal door middel van on-the-job-training opgeleid worden tot een ""subject matter expert"" op het vlak van luchtvaart…",Steenokkerzeel,skeyes,
853,Research Data Engineer,Samenwerking met de doelgroepen om tegemoet te komen aan hun specifieke data uitdagingen.Gedurende dit proces wordt de data beheerd conform de FAIR principes.,Leuven,KU Leuven,
854,DevOps Engineer,Providing software services to life sciences clients means two things are especially challenging: 100% uptime and data security.Every Friday is free pizza day.,Halle,XAOP,
855,Software developer,"Master or engineering degree (or equivalent) in computer science or electronics.For the development of our competencies center ""Systems"", Business &…",Brussel,Business & Engineering Solutions,
856,Stedenbouwkundig Ontwerper GIS,"Sommige projecten vragen ook data-analyse in GIS.Sweco is het meest toonaangevende ingenieurs-, advies- en ontwerpbureau van Europa en blijft de evolutie…",Gent,Sweco Belgium nv,
857,R&D Engineer (Service Engineering),Able to manage data such as Bills of Material in SAP and PLM or willing to learn.You manage the platform with the support of the Service Engineer to maintain…,Louvain-la-Neuve,IBA,
858,Full Stack Developer,"You will join project-based polytechnic teams and will be involved in the construction of the data structures, data flows and presentation layer.",Diegem,NTT Belgium,
859,PRODUCTION SUPERVISOR,"A degree in a scientific / technical direction (university or equivalent, eg bio-engineer, engineer, pharmacist).You will also provide training and education.",Puurs,Novartis,
860,Machine Learning Engineer,"Distributing training across GPUs and nodes with data and model parallelism.You will work with our team of engineers to design, implement, deploy, and maintain…",Bruxelles Molenbeek-Saint-Jean,radix,
861,Ingénieur test et validation M/F,"Pour plusieurs de nos clients, acteurs mondiaux des industries du transport, de l'énergie et de la défense, nous recherchons actuellement plusieurs ingénieurs…",Bruxelles Evere,AKKA TECHNOLOGIES,
862,Test Rig Engineer,"You perform new development tests, analyze and report test data:Test rig HW is prepared in collaboration with the technicians and test engineers.",Leuven,Engibex,
863,Senior Style Designer (interior),You will work closely together with exterior and color style designers and engineers by:. Develop style data and realize which secures both TMC styling quality…,Zaventem,Toyota Motor Europe,
864,Hybrid Cloud DevOps Engineer,"TenForce is growing and we are expanding our hosting capabilities towards Azure.To guide us in this new adventure, we are looking for an experienced & hands on…",Leuven,TenForce,
865,Technical Service Engineer,"Je bereidt de technische projectdocumentatie voor, maakt PED constructiedossiers, verzamelt certificaten, data.Nippon Gases slaagt erin iets zo.",Zwijndrecht,Nippon Gases,
866,C/C++ Senior Backend Engineer,"You will be working in collaboration with our engineers, data scientists, and architects to develop new features, integrate new liquidity sources and structure…",Brussel,Keyrock,
867,Data Architect,"Capture data requirements and deliver logical data models, data flow diagrams and other artefacts.A data architect is an IT specialist with experience and…",Brussel,ARHS Group,
868,Big Data Engineer,"As a data engineer, you show :Data engineering: 3 years (Preferred).At Klarrio we are specialized in building 'streaming data' -platforms, -processing and …",Antwerpen (stad),Klarrio,
869,Data Base Engineer,"We zijn op zoek naar een database engineer met een brede interesse, die zich kan inwerken in technologie naargelang de noden.",Schaarbeek,Christelijke Mutualiteit,
870,Junior Data Communication Engineer,"De Junior Data Communication Engineer zal door middel van on-the-job-training opgeleid worden tot een ""subject matter expert"" op het vlak van luchtvaart…",Steenokkerzeel,skeyes,
871,Research Data Engineer,Samenwerking met de doelgroepen om tegemoet te komen aan hun specifieke data uitdagingen.Gedurende dit proces wordt de data beheerd conform de FAIR principes.,Leuven,KU Leuven,
872,IC test Engineer, Statistical data analysis and reporting.Send your CV and application letter to jobs@qplox.com with the subject “Semiconductor Test engineer”.,Leuven,Qplox Engineering,
873,BACKEND SOFTWARE ENGINEER,"Degree in computer science or a related field.This highly responsible position involves using established work procedures to analyze, design, develop,…",Mont-Saint-Guibert,Opinum,
874,Senior Product Designer,"You will articulate and evangelize design decisions performing user testing, analyze feedback, data and iterate!What your day will look like.",Brussel,Elyps,
875,BI Engineer – Diegem,"Als BI Engineer is het jouw taak om de verschillende databronnen, zowel met consumentendata als meer operationele data, waarover BD myShopi als bedrijf beschikt…",Diegem,BD myShopi,
876,Cloud Security Engineer,"Expertise with security-related topics data protection, data leakage prevention, encryption, secure data transfer, secure data storage, Key management,…",Brussel,Approach Belgium,
877,Director – Technical Regulation,"He/she will be preferably an engineer with a high interest in regulatory and business issues, or a generalist with a high interest in engineering and advanced…",Brussel,CECIMO – European Association of the Machine Tool...,
878,Junior Automation Engineer,Pas afgestudeerd als burgerlijk/industrieel ingenieur of als master in een technische richting?Ga voor een loopbaan in automatisering en werk bij de sterkste…,Merelbeke,Actemium,
879,Medior Application Support Engineer,"Deploy and update all applications in acceptance & production environments (mostly Windows IIS & SQL based);Be part of the duty role (24/7, 1 in 4-5 weeks) in…",Brussel,Group onePoint,
880,Senior Optimisation and Performance Engineer,Issues a global strategy to improve End to End network (voice and data) quality.Interested for a contracting role at a leading Telecom company in Belgium?,Evere,Modis,
881,Senior Datacenter Engineer,Looking for the next step in your career?Do you have an ambition for innovation?Want to make a difference?You will work with some of the leading world brands…,Diegem,Dimension Data,
882,Hybrid Cloud DevOps Engineer,"TenForce is growing and we are expanding our hosting capabilities towards Azure.To guide us in this new adventure, we are looking for an experienced & hands on…",Leuven,TenForce,
883,Technical Service Engineer,"Je bereidt de technische projectdocumentatie voor, maakt PED constructiedossiers, verzamelt certificaten, data.Nippon Gases slaagt erin iets zo.",Zwijndrecht,Nippon Gases,
884,C/C++ Senior Backend Engineer,"You will be working in collaboration with our engineers, data scientists, and architects to develop new features, integrate new liquidity sources and structure…",Brussel,Keyrock,
885,Data Architect,"Capture data requirements and deliver logical data models, data flow diagrams and other artefacts.A data architect is an IT specialist with experience and…",Brussel,ARHS Group,
886,Big Data Engineer,"As a data engineer, you show :Data engineering: 3 years (Preferred).At Klarrio we are specialized in building 'streaming data' -platforms, -processing and …",Antwerpen (stad),Klarrio,
887,Data Base Engineer,"We zijn op zoek naar een database engineer met een brede interesse, die zich kan inwerken in technologie naargelang de noden.",Schaarbeek,Christelijke Mutualiteit,
888,Junior Data Communication Engineer,"De Junior Data Communication Engineer zal door middel van on-the-job-training opgeleid worden tot een ""subject matter expert"" op het vlak van luchtvaart…",Steenokkerzeel,skeyes,
889,Research Data Engineer,Samenwerking met de doelgroepen om tegemoet te komen aan hun specifieke data uitdagingen.Gedurende dit proces wordt de data beheerd conform de FAIR principes.,Leuven,KU Leuven,
890,Senior Data Engineer,Alignment and consistency in data management among different data.Implement and maintain optimal data platforms.Internal and third-party data.,Brussel,Sparagus,
891,Support Engineer,"By submitting an application to this position and by sharing your personal data with ED, you acknowledge and accept its Policy and authorise ED to process your…",Brussel,EUROPEAN DYNAMICS,
892,DevSecOps Senior,"Participation in technical working groups, progress meetings and meetings with our data centre team.You will be in charge of the main assignations:",Brussel,Unisystems,
893,Application Engineer,"Experience of data models, data structure, data workflows.As Application engineer, you will:Experience with designing and implementing master data management…",Brussel,Zetes,
894,Fiber Solutions Engineer,Your role as fiber solutions engineer?Je rol als Fiber Solutions ingenieur?Welk team zoekt een Fiber Solutions ingenieur?What is in your backpack?,Mechelen,Telenet,
895,HVAC Senior Engineer,"Starting from the Client Requirements, the client SOP’s, and all applicable engineering codes, the HVAC Senior Engineer develops HVAC design criteria,…",Antwerpen (stad),Worley,
896,Field Service Representative,"With 90,000 people on five continents, SUEZ is a world leader in smart and sustainable resource management.We provide water and waste management solutions that…",Antwerpen (stad),SUEZ,
897,"Two-way meso–micro coupling for wind farm planning, forecast...","A data scientist and ICT engineer, will work part time on the project.The micro-scale model SP-Wind, a Large-Eddy Simulation code developed at KU Leuven, will…",Leuven,KU Leuven,
898,Operational Excellence Coordinator,"Analytical: comfortable solving business problems and questions using data, working with numbers and drawing conclusions/finding patterns.",Eigenbrakel,UCB S.A.,
899,SHEQ Coordinator,"Engineer, civil engineering, others) is required.➢ Ensure optimal SHEQ performance by setting & monitoring KPI’s, gathering relevant data and.",Sint-Niklaas,ITW Wynns Belgium,
900,Hybrid Cloud DevOps Engineer,"TenForce is growing and we are expanding our hosting capabilities towards Azure.To guide us in this new adventure, we are looking for an experienced & hands on…",Leuven,TenForce,
901,Technical Service Engineer,"Je bereidt de technische projectdocumentatie voor, maakt PED constructiedossiers, verzamelt certificaten, data.Nippon Gases slaagt erin iets zo.",Zwijndrecht,Nippon Gases,
902,C/C++ Senior Backend Engineer,"You will be working in collaboration with our engineers, data scientists, and architects to develop new features, integrate new liquidity sources and structure…",Brussel,Keyrock,
903,Data Architect,"Capture data requirements and deliver logical data models, data flow diagrams and other artefacts.A data architect is an IT specialist with experience and…",Brussel,ARHS Group,
904,Big Data Engineer,"As a data engineer, you show :Data engineering: 3 years (Preferred).At Klarrio we are specialized in building 'streaming data' -platforms, -processing and …",Antwerpen (stad),Klarrio,
905,Data Base Engineer,"We zijn op zoek naar een database engineer met een brede interesse, die zich kan inwerken in technologie naargelang de noden.",Schaarbeek,Christelijke Mutualiteit,
906,Junior Data Communication Engineer,"De Junior Data Communication Engineer zal door middel van on-the-job-training opgeleid worden tot een ""subject matter expert"" op het vlak van luchtvaart…",Steenokkerzeel,skeyes,
907,Research Data Engineer,Samenwerking met de doelgroepen om tegemoet te komen aan hun specifieke data uitdagingen.Gedurende dit proces wordt de data beheerd conform de FAIR principes.,Leuven,KU Leuven,
908,Vision algorithms engineer, Work in a multi-disciplinary team of engineers. Analyse the problem based on data and interaction with the support team.To support our customers in.,Leuven,Qplox Engineering,
909,Software Engineer - Testlab,Affinity with data acquisition systems and digital signal processing.Software Engineer for Simcenter Testlab.Proven experience in design and analysis skills.,Leuven,Siemens AG,
910,Technical Information Coordinator,Waste management: collect data on oil /package sales in collaboration with business support in order to prepare declarations for the government.,Gent,Chevron Belgium NV,
911,Software design engineer,"For embedded software, cooperate closely with the electronics engineer.Within ADB SAFEGATE R&D: director, other group leaders, designers & validation engineers…",Zaventem,ADB Safegate,
912,Test engineer and Test Automation Engineer Wanted!,"Identify technical incompliances, collect test data for reporting to development organization or 3rd party Vendor.Typically a full test cycle is ran.",Zaventem,Devoteam Technology Consulting Belgium,
913,Support Engineer,"The networks connecting high-voltage substations and data centres for purposes of remote surveillance, telephony, meter readings, consulting disturbance…",Brussel,Connect-ICT,
914,Reliability Engineer- Life Sciences,"You search critical spares parts in the data base, perform quotation and creation of articles (from suppliers) if necessary.",Brussel,Altran,
